hotel,fooditems
mahek-e-punjab-calangute,"['chicken lollipop', 'fish', 'chicken masala', 'biryani', 'chicken']"
tirupati-restaurant-chukkuwala,['sambar']
chai-onn-allahabad,"['poha', 'sandwich']"
grandmamas-caf�-lower-parel,['fish']
mocambo-park-street-area,"['kebab', 'tikka', 'fish', 'chicken', 'custard', 'lamb', 'mutton', 'pepper chicken', 'caramel sauce', 'biryani', 'devilled crab', 'mayonnaise', 'kebabs', 'lasange', 'chicken curry', 'gravy', 'chicken biryani', 'white sauce', 'pasta', 'salad', 'cutlets', 'chicken soup', 'cutlet', 'chicken roast', 'cake']"
kfc-1-rajpur,['chicken']
kebabs-curries-company-chitrakoot,"['tikka', 'gravy', 'fish', 'chicken biryani', 'paneer', 'biryani', 'chicken']"
teanspira-sector-35,"['omelette', 'chicken']"
burger-spot-kakkanad,"['sandwich', 'hot sauce']"
box8-baner,['pizzas']
the-urban-socialite-tt-nagar,['coffeee']
dominos-pizza-hindpiri,"['chicken', 'pizzas', 'paneer', 'chicken pizza']"
the-fishermans-wharf-panaji,"['prawn curry', 'fish', 'paneer']"
naga-kitchen-six-mile,"['chicken', 'momos']"
andhra-house-kadri,"['chicken', 'chicken biryani', 'biryani']"
goli-vada-pav-cidco,['mayonnaise']
sultans-of-spice-koramangala-5th-block,"['tikka', 'chicken', 'salad']"
the-aroma-kitchen-vesu,['pasta']
jiffys-ganeshguri,"['salad', 'fish', 'coffeee', 'biryani', 'pasta', 'chicken']"
kitchen-187-creperie-cafe-alwarpet,['cake']
kanha-tonk-road,['allo']
hotel-rrr-mandi-mohalla,['biryani']
quick-pick-patia-bhubaneshwar,['chicken']
khaan-saab-banjara-hills,"['gravy', 'mutton', 'paneer', 'kebab']"
tease-me-rooftop-tea-boutique-tajganj,"['pasta', 'peanut', 'chicken']"
the-j-churchgate,"['cake', 'chicken', 'coffeee']"
midnight-food-delivery-c-scheme,"['dal fry', 'chapati', 'chicken', 'paneer', 'tikka']"
south-indian-masala-dosa-maharana-pratap-nagar,"['sambar', 'lemon rice']"
zaikart-bajaj-nagar,"['tikka', 'chicken', 'paneer', 'biryani']"
the-pizza-king-sarabha-nagar,['pizzas']
aryan-familys-delight-civil-lines,"['chicken', 'biryani']"
mcdonalds-golambar,['chicken']
anupam-kadri,"['fish', 'gravy']"
boston-bites-sector-11,['chicken']
mami-kadai-mylapore,['pongal']
dunkin-donuts-maharana-pratap-nagar,['cookie']
sindhi-sweets-sector-17,"['papdi chaat', 'gravy', 'paneer', 'biryani', 'shahi paneer', 'paneer butter masala']"
delhi-highway-indiranagar,"['mughlai', 'paneer']"
firdouse-saligramam,"['kebab', 'chicken biryani', 'chicken masala', 'chicken pie', 'biryani', 'chicken', 'kebabs']"
the-square-hotel-novotel-satellite,"['pasta', 'cake']"
barbeque-nation-kirlampudi-layout-vizag,"['mutton', 'kebab', 'fish', 'biryani', 'fish curry', 'kebabs']"
checkers-sadar,"['chicken lollipop', 'chicken', 'sandwich', 'mexican rice', 'coffeee']"
sita-ram-diwan-chand-paharganj-new-delhi,"['salad', 'paneer', 'the filling', 'cake', 'carrot pickle', 'chutney']"
little-italiano-doranda,['pizzas']
basant-restaurant-dugri,"['chicken', 'paneer']"
pizza-hut-anandpuri,['pasta']
the-chocolate-room-kanka,"['cake', 'tikka', 'sandwich', 'paneer', 'coffeee']"
copper-kitchen-porur,['chicken']
dominos-pizza-sarabha-nagar,['chicken']
45-attavar,"['chicken', 'sandwich', 'chicken sandwich']"
the-latitude-radisson-blu-tajganj,"['eggs', 'salad']"
pizzeria-vaatika-cafe-assi-ghat,"['pasta', 'cake', 'pizzas', 'coffeee']"
riders-republic-cafe-vijay-nagar,['coffeee']
cafe-d-arabia-edappally,"['chicken', 'chicken shawarm']"
2-bros-kitchen-sector-41-noida,"['chicken', 'paneer', 'momos']"
tossin-pizza-sector-35,['pizzas']
paris-bakery-patia-bhubaneshwar,"['cake', 'pasta', 'cookie', 'white sauce']"
the-urban-chulah-viman-nagar,"['chapati', 'chicken', 'chicken biryani', 'biryani']"
vihar-rooftop-waltair-uplands-vizag,['chicken']
bakes-beans-pakhowal-road,"['pizzas', 'salad', 'sandwich']"
cafe-zoe-lower-parel,"['chicken', 'cookie']"
edesia-minto-park,"['sandwich', 'salad', 'allo', 'fish', 'coffeee', 'cake', 'fish curry', 'chicken', 'chicken sandwich', 'eggs']"
colours-by-royal-cafe-royal-inn-hazratganj,"['pasta', 'cake']"
gordhan-thaal-satellite,"['salad', 'curd', 'chutney', 'bati']"
jalpaan-dining-saga-chamrajpura,"['pasta', 'biryani']"
sandys-chocolate-laboratory-teynampet,"['cake', 'chicken', 'eggs']"
hotel-ramashray-matunga-east,"['sabudana vada', 'chutney', 'appam', 'coffeee']"
oye24-hig-lig,"['dal baati', 'salad', 'jeera rice', 'paneer', 'chana masala', 'poha', 'chutney']"
villa-vandre-pali-hill-bandra-west,['mutton']
edwards-yard-panaji,"['manchow', 'manchow soup', 'prawn curry', 'fish', 'chicken']"
the-blue-oven-vastrapur,"['base sauce', 'salad', 'white sauce', 'coffeee', 'cake', 'pasta', 'chicken', 'pizzas']"
mr-and-mrs-idly-lalpur,['sambar']
nescafe-sharanpur,"['cake', 'chicken']"
awadhpuri-1-prahlad-nagar,"['lamb', 'tikka', 'kebab', 'chicken biryani', 'kheer', 'mughlai', 'paneer', 'chutney', 'biryani', 'chicken', 'kebabs', 'fish', 'stew']"
mediterra-sayaji-hotel-vijay-nagar,"['lamb', 'cake', 'chicken', 'stew', 'kebab']"
al-fresco-ramada-town-hall,"['pasta', 'fish', 'paneer', 'chicken']"
maduvan-veg-restaurant-bendoor,"['curd', 'paneer', 'biryani']"
moodies-restro-cafe-vesu,"['pasta', 'paneer']"
horizon-multicuisine-restaurant-jagadamba-junction,"['cake', 'kebabs', 'kebab']"
mehfil-phoolbagh,"['chicken', 'gravy']"
ck-food-express-satpur,"['chicken biryani', 'chicken', 'kebabs', 'biryani', 'kebab']"
gallops-cafe-mvp-colony-vizag,"['sandwich', 'allo', 'coffeee', 'pasta', 'chicken', 'chicken sandwich']"
spicecaves,"['lamb', 'chicken', 'mutton', 'kebabs', 'kebab']"
truffles-st-marks-road,"['pasta', 'cake', 'fish', 'chicken']"
aja-fresh-grilled-healthy-sector-11,"['chicken', 'paneer', 'salad']"
capri-restaurant-civil-lines,['chicken']
filmy-zayka-hotel-alleviate-civil-lines,"['kebab', 'salad', 'paneer', 'the filling', 'curd', 'biryani']"
french-creperie-koregaon-park,"['coffeee', 'the filling']"
yo-china-ulubari,"['chilli chicken', 'chicken', 'chicken wings', 'gravy']"
getafix-greater-kailash-gk-1-new-delhi,"['omelette', 'gravy', 'sandwich', 'chicken wings', 'salad', 'tikka', 'allo', 'fish', 'coffeee', 'cake', 'mexican rice', 'pasta', 'chicken', 'pizzas', 'chicken sandwich', 'eggs']"
sarvi-restaurant-banjara-hills,"['tikka', 'mutton', 'kebab', 'manchow', 'chicken biryani', 'biryani', 'manchow soup', 'chicken']"
mcdonalds-4-college-road,"['chicken', 'coffeee']"
prez-restaurant-karanpur,['chicken']
spicy-daawat-mahmoorganj,['sandwich']
karltons-horizon-grill-candolim,"['pasta', 'chicken', 'ginger chicken', 'fish', 'salad']"
cafe-chocolatti-candolim,"['cake', 'sandwich', 'cookie', 'coffeee']"
the-zouq-resto-cafe-dispur,"['chicken', 'chicken biryani', 'biryani', 'kebab', 'the filling']"
talk-of-the-town-ashok-nagar,['manchow']
shiraz-golden-restaurant-park-street-area,"['tikka', 'gravy', 'mutton', 'salad', 'kebab', 'chicken pie', 'chicken biryani', 'fish', 'mughlai', 'paneer', 'haleem', 'biryani', 'chicken', 'kebabs', 'paneer butter masala', 'stew']"
desi-aroma-baner,"['chicken', 'mughlai', 'kebab']"
indian-coffee-house-connaught-place-new-delhi,"['omelette', 'sandwich', 'salad', 'sambhar', 'paneer', 'coffeee', 'paneer dosa', 'cutlet', 'mutton', 'chicken', 'chutney', 'cutlets']"
shohala-ana-odia-patia-bhubaneshwar,"['fish', 'mutton', 'chicken']"
dilli-da-roll-new-palasia,"['tikka', 'chicken', 'paneer', 'chilli sauce', 'chicken roll']"
surjit-food-plaza-white-avenue,"['chicken', 'chicken pie']"
daawat-panaji,"['gravy', 'fish', 'kebabs', 'chicken', 'kebab']"
uday-misthan-bhandar-lalpur,"['sambhar', 'khasta kachori']"
koshys-st-marks-road,"['allo', 'fish', 'chicken biryani', 'pork vindaloo', 'biryani', 'chicken']"
bread-of-life-bakery-shivala,['cake']
spicenation-manjalpur,"['manchow', 'manchow soup', 'paneer']"
la-kuchina-hotel-jehan-numa-tt-nagar,"['pasta', 'chicken', 'pizzas']"
lbs-kitchen-sadar,"['fish', 'chicken']"
arthurs-theme-koregaon-park,"['pasta', 'chicken']"
baati-chokha-gomti-nagar,"['allo', 'chutney', 'tomato chutney']"
brindhavan-vegetarian-restaurant-palarivattom,['sambhar']
castle-grill-sector-37,"['chicken', 'mutton', 'paneer', 'chicken nuggets']"
the-cafe-laundrette-kankanady,"['pasta', 'chicken', 'sandwich', 'coffeee']"
barbeque-restaurant-sadar,"['tikka', 'chicken', 'mutton', 'biryani', 'kebab']"
china-town-malviya-nagar,"['chicken', 'momos']"
shudh-restaurant-town-hall,['moong dal']
the-yellow-chilli-fraser-road-area,"['chicken', 'biryani']"
mysore-mylari-kuvempunagar,['chutney']
kuchi-n-kream-gandhipuram,"['sandwich', 'momos', 'salad', 'coffeee', 'fish', 'chicken lollipop', 'white sauce', 'cake', 'pasta', 'chicken', 'pizzas']"
dominos-pizza-lawrence-road,['chicken']
mr-beans-home-cafe-koramangala-3rd-block,"['chicken', 'sandwich', 'chicken sandwich', 'coffeee', 'salad']"
gaylord-tea-and-coffee-sayajigunj,['coffeee']
sangeetha-veg-restaurant-t-nagar,"['sambhar', 'curd', 'sambar']"
trattoria-balmatta,"['manchow soup', 'momos', 'allo', 'manchow', 'chicken teriyaki', 'pasta', 'chicken', 'pizzas']"
the-chinese-story-ramapuram,"['lamb', 'chicken', 'salad']"
the-78-boulevard-vijay-nagar,['pasta']
reddys-gokul-brindavan-restaurant-dharampeth,"['sambhar', 'chutney', 'sambar', 'coffeee']"
marrakesh-kalyani-nagar,"['tikka', 'chicken', 'mutton', 'paneer', 'kebab']"
1559-ad-fateh-sagar,"['chilli chicken', 'tikka', 'gravy', 'paneer', 'chana masala', 'pasta', 'chicken']"
yari-saibaba-colony,"['tikka', 'chilli paneer', 'mango lassi', 'paneer', 'cake', 'pasta', 'raj kachori']"
food-on-way-satellite,['dal fry']
salt-mango-tree-whitefield,"['prawn curry', 'gravy', 'chicken biryani', 'biryani', 'chicken']"
the-indian-coffee-house-sector-17,"['cutlet', 'mutton', 'coffeee', 'omelette']"
mud-oven-vijay-nagar,"['paneer', 'salad', 'chutney']"
carnival-food-court-nedumbassery,['cake']
kerala-cafe-bhelupur,['coffeee']
brewmen-panchwati,"['sandwich', 'momos', 'coffeee', 'chicken', 'chicken sandwich', 'chutney']"
sri-sairam-parlour-dwaraka-nagar-vizag,"['pongal', 'chutney']"
the-egg-factory-st-marks-road,"['eggs', 'chicken']"
mcdonalds-prahlad-nagar,['chicken']
brahmins-coffee-bar-basavanagudi,"['chutney', 'coffeee']"
sunny-side-up-candolim,"['fish', 'salad', 'shrimps']"
chinese-corner-gokulam,"['chicken', 'stew', 'momos']"
kaveri-restaurant-and-caterers-hindpiri,"['chilli paneer', 'pizzas', 'paneer']"
peshawri-welcomhotel-vadodra-alkapuri,"['chicken', 'mutton', 'paneer']"
eagle-boys-pizza-ruby-hospital-area,"['coffeee', 'chocolate sweet', 'pasta', 'chicken pizza', 'pizzas', 'chicken']"
oudh-1590-desapriya-park,"['tikka', 'gravy', 'mutton', 'salad', 'kebab', 'fish kebab', 'allo', 'chicken pie', 'fish', 'mughlai', 'paneer', 'chutney', 'coriander chicken', 'curd', 'pudding', 'biryani', 'cake', 'chicken', 'kebabs', 'eggs', 'chowman']"
chaitanya-food-court-kukatpally,"['mint chicken', 'chicken', 'mutton', 'chicken biryani', 'biryani']"
daddys-restaurant-jakhan,"['chilli chicken', 'chicken', 'gravy']"
the-breakfast-box-pimple-saudagar,"['eggs', 'curd', 'cookie', 'chutney', 'salad']"
aangan-downtown-multicuisine-restaurant-palarivattom,"['tikka', 'salad', 'dal fry', 'chicken soup', 'paneer', 'chicken', 'mayonnaise']"
grille-restaurant-jakhan,"['cake', 'fish']"
onesta-koramangala-4th-block,"['allo', 'pizzas', 'lasange']"
la-folie-lab-hill-road-bandra-west,"['cake', 'eggs', 'coffeee']"
6-ballygunge-place-ulubari,"['puris', 'chutney', 'bati']"
kanha-vaishali-nagar,"['raj kachori', 'cookie']"
chutney-kodailbail,"['appam', 'manchow', 'paneer', 'curd', 'caramel sauce', 'manchow soup', 'paneer butter masala', 'chutney', 'custard']"
vaishali-fc-road,"['cutlet', 'coffeee']"
ovenfresh-sector-35,"['tikka', 'sandwich', 'white sauce', 'paneer', 'coffeee', 'mayonnaise', 'cake', 'pasta', 'chicken', 'pizzas', 'chicken pizza']"
buddies-cafe-peelamedu,"['cake', 'momos', 'coffeee']"
jai-hind-dhaba-paddapukur,"['chicken', 'paneer butter masala', 'mutton', 'paneer', 'kebab']"
season-accord-puducherry-gandhinagar,"['cake', 'chicken']"
tanto-pizzeria-auroville,"['salad', 'masala chicken', 'cake', 'pasta', 'chicken', 'pizzas', 'chicken pizza']"
rustic-door-sector-10,"['lamb', 'sandwich', 'salad', 'allo', 'fish', 'coffeee', 'pasta', 'chicken', 'chicken soup']"
big-wong-sector-50-gurgaon,"['gravy', 'manchow', 'fish', 'allo', 'manchow soup', 'chicken', 'dipping sauce', 'chicken soup']"
mkop-civil-lines,['cake']
aroma-cafe-restaurant-arera-colony,"['chicken', 'salad']"
greens-and-grains-restaurant-rs-puram,"['pasta', 'salad']"
au-79-hotel-ganga-kashi-sitabuldi,['puris']
hot-lips-doranda,"['chicken', 'kebabs', 'gravy', 'kebab']"
sector-7-caf�-hsr,['cake']
pizza-hut-digha-ghat,"['chicken', 'pizzas', 'chicken wings', 'paneer']"
theteagrovedesapriyapark,"['kebab', 'momos', 'coffeee', 'pasta', 'cake', 'chicken', 'pizzas']"
cafe-purple-turtle-jakhan,"['chicken', 'chicken pizza']"
bon-nourriture-sector-9,"['omelette', 'chicken', 'salad']"
the-rouge-park-circus-area,"['cake', 'curd', 'coffeee']"
eat-street-express-bajaj-nagar,"['tikka', 'chicken', 'paneer', 'biryani']"
kfc-kharabela-nagar-bhubaneshwar,"['chicken', 'chicken wings']"
kiranshree-christian-basti,['gulabjamun']
canteen-18-heritage-town,"['chicken', 'sandwich', 'salad']"
the-spice-factory-hazratganj,"['allo', 'tikka', 'paneer']"
cafe-alfresco-navrangpura,"['sandwich', 'paneer', 'coffeee', 'biryani', 'pasta', 'paneer butter masala', 'pizzas']"
thirsty-bear-bambolim,"['omelette', 'sandwich', 'coffeee', 'cake', 'chicken', 'chicken sandwich']"
the-bake-factory-kondapur,"['cake', 'eggs']"
mirch-masala-gotri,"['papdi chaat', 'paneer']"
heart-cup-coffee-kondapur,"['chicken', 'coffeee']"
zaitoon-airport-road,"['chilli chicken', 'chicken']"
barbeque-world-vastrapur,['salad']
cafe-marigold-rajpur,"['pasta', 'coffeee', 'momos']"
10-downing-street-t-nagar,"['chicken', 'paneer', 'kebab', 'paneer butter masala']"
aromas-cafe-powai,"['cake', 'pasta', 'fish', 'chicken', 'coffeee']"
kritunga-restaurant-marathahalli,['biryani']
70-degrees-east-thaltej,"['pasta', 'manchow', 'manchow soup', 'paneer', 'tikka']"
new-farm-fresh-mg-road,"['pasta', 'chicken', 'pizzas', 'salad']"
baba-chicken-model-town,"['chicken', 'mutton', 'fish']"
kabab-mahal-kankarbagh,['biryani']
andhikkadai-velachery,['appam']
krishnavillasam-the-home-of-classics-nungambakkam,"['gravy', 'stew', 'appam']"
shaack-anna-nagar-east,"['pasta', 'coconut souffle', 'fish']"
spice-route-white-town,"['tikka', 'gravy', 'dal fry', 'fish', 'paneer', 'coffeee', 'chicken teriyaki', 'chicken']"
oudh-1590-sector-1-salt-lake,"['tikka', 'gravy', 'mutton', 'salad', 'kebab', 'fish', 'mughlai', 'paneer', 'biryani', 'cake', 'chicken', 'kebabs']"
byli-bet-you-love-it-kalyan-nagar,"['sandwich', 'fish', 'coffeee', 'pasta', 'cake', 'chicken', 'pizzas']"
walias-khandari,"['tikka', 'gravy', 'mutton', 'kebab', 'dal fry', 'paneer', 'chicken', 'kebabs']"
bundar-koramangala-6th-block,"['salad', 'custard']"
nainital-momos-gomti-nagar,['momos']
khatta-meetha-restaurant-and-caterers-nawab-ganj,"['tikka', 'paneer']"
moksh-the-restro-lounge-sitabuldi,['paneer']
one-way-cafe-chowringhee,"['lamb', 'sandwich', 'salad', 'allo', 'fish', 'ginger chicken', 'coffeee', 'cake', 'chicken']"
cappuccino-blast-sadar-bazaar,"['chilli chicken', 'chicken', 'coffeee']"
kota-kachori-koramangala-6th-block,"['sabudana vada', 'chutney']"
grill-republica-christian-basti,"['chicken', 'mango drink', 'mayonnaise', 'kebab']"
sardarji-ka-dhaba-kacherippady,"['tikka', 'kebab', 'paneer', 'biryani', 'chicken', 'kebabs', 'chutney']"
gayatri-tiffin-room-ittige-gudu,['allo']
jheels-ginger-coffee-bar-bakery-chandpole,"['cake', 'tikka', 'sandwich', 'paneer', 'coffeee']"
the-yoga-house-carter-road-bandra-west,"['allo', 'poha', 'cookie']"
social-ra-puram,"['cake', 'pasta', 'chicken', 'mutton', 'chicken wings']"
batlivala-khanabhoy-alwarpet,"['cutlet', 'custard', 'coconut burfi', 'coffeee', 'cutlets']"
vatika-restaurant-hotel-madhuban-hathibarkala-salwala,"['tikka', 'chicken']"
mustake-multicuisine-restaurant-kakkanad,"['chicken', 'sandwich', 'salad']"
rishi-vegetarian-dhaba-industrial-area,"['cake', 'gravy', 'kheer', 'paneer', 'salad']"
aroma-the-royal-retreat-bariatu,"['chicken', 'mughlai']"
SmokeHouseDeli-Pali,"['lamb', 'pasta', 'chicken', 'salad']"
rams-dosa-house-banjara-hills,"['paneer', 'paneer dosa']"
midnight-express-parade,"['tikka', 'paneer butter masala', 'paneer']"
aromas-swaroop-nagar,"['pasta', 'pizzas']"
hamfoos-prahlad-nagar,"['pasta', 'pizzas', 'salad']"
wok-on-fire-prahlad-nagar,"['peanut', 'momos', 'salad']"
hotel-saravana-bhavan-edappally,['chutney']
chapter-1-cafe-tajganj,"['tikka', 'fish', 'mughlai', 'coffeee', 'pasta', 'pizzas']"
surtea-piplod,['coffeee']
well-bean-cafe-civil-lines,"['pasta', 'cake', 'sandwich', 'paneer']"
kabir-kitchen-alkapuri,['allo']
offside-lounge-vadiwadi,['pasta']
just-lobos-calangute,"['pasta', 'chicken']"
the-flying-saucer-sky-bar-viman-nagar,['cake']
shetty-lunch-home-balmatta,"['fish curry', 'fish', 'chicken']"
chick-n-serve-khajrana,['chicken']
udupi-anand-sagar-calangute,"['sambhar', 'chicken']"
sahib-s-barbeque-by-ohri-s-hitech-city,['haleem']
that-madras-place-adyar,"['pasta', 'cake', 'chicken']"
le-caf�-chaplin-white-town,"['allo', 'omelette', 'sandwich']"
abs-absolute-barbecues-jubilee-hills,"['fish', 'kebabs', 'chicken', 'kebab']"
sigree-global-grill-powai,"['lamb', 'moong dal', 'salad', 'fish', 'paneer', 'cake', 'pasta', 'chicken', 'gulabjamun']"
the-marina-nungambakkam,"['fish curry', 'fish']"
tyre-patty-elgin,['pasta']
my-restaurant-maddilapalem-vizag,"['cake', 'fish', 'biryani']"
brothers-amritsari-dhaba-town-hall,['paneer']
minerva-coffee-shop-madhapur,"['sambar', 'chutney', 'coffeee']"
coffee-cup-sainikpuri-secunderabad,"['pasta', 'chicken', 'fish', 'coffeee']"
hoagies-harsh-nagar,"['sandwich', 'paneer']"
the-wok-ashok-nagar,"['chicken', 'momos']"
bird-on-tree-race-course,"['lamb', 'tikka', 'mutton', 'salad', 'fish', 'paneer', 'biryani', 'pasta', 'chicken']"
alpha-hotel-jagadamba-junction-vizag,['biryani']
aangan-pathardi-phata,['misal pav']
simply-south-gachibowli,['appam']
red-salt-kottara,['fish']
1135-ad-amer,['gravy']
sandwich-factory-pratap-nagar,"['chicken', 'sandwich']"
buff-buffet-buff-koramangala-5th-block,['fish']
delhi-highway-nungambakkam,"['tikka', 'gravy', 'paneer', 'kebab', 'biryani']"
al-arabian-express-college-road,"['tikka', 'mutton', 'kebab', 'paneer', 'chicken shawarm', 'biryani', 'chicken', 'kebabs', 'mayonnaise']"
the-eclair-lounge-courtyard-by-marriott-bhopal-maharana-pratap-nagar,"['pineapple pastry', 'coffeee']"
java-courtyard-by-marriott-satellite,"['roasted chicken', 'sandwich', 'coffeee', 'pasta', 'cake', 'chicken', 'chicken sandwich']"
punjab-grill-koramangala-7th-block,"['peanut', 'biryani', 'paneer']"
barbeque-nation-mall-road,"['fish curry', 'fish', 'mutton', 'biryani']"
chowman-sector-1-salt-lake,"['lamb', 'chilli chicken', 'gravy', 'salad', 'momos', 'manchow', 'fish', 'chicken pie', 'paneer', 'sour fish', 'chilli sauce', 'chopseuy', 'manchow soup', 'chicken', 'chicken soup', 'chowman', 'chilli vinegar']"
glocal-junction-veera-desai-area,"['fish', 'chicken', 'chicken pizza']"
one-o-eight-cafe-koregaon-park,"['sandwich', 'coffeee']"
di-ghent-cafe-dlf-phase-4-gurgaon,"['lamb', 'omelette', 'sandwich', 'salad', 'eggs', 'coffeee', 'cake', 'cookie', 'pasta', 'chicken', 'carrot cake']"
paris-cafe-sector-5-salt-lake,"['omelette', 'sandwich', 'chicken wings', 'salad', 'white sauce', 'chicken pizza', 'fish', 'pan cake', 'chicken pie', 'coffeee', 'eggs', 'pasta', 'cake', 'chicken', 'pizzas', 'mayonnaise']"
kebabilals-bhawar-kuan,['chicken']
barbeque-nation-parijat-nagar,"['fish', 'chicken biryani', 'biryani', 'chicken']"
the-rolling-pin-lower-parel,"['cake', 'pizzas']"
pappadavada-mg-road,"['fish', 'chicken', 'appam']"
chill-baby-old-palasia,"['sandwich', 'paneer']"
the-biryani-mall-fraser-road-area,['biryani']
mamus-infusion-c-scheme,['chicken']
kebab-gali-dlf-phase-4-gurgaon,"['mughlai', 'kebab']"
taj-bano-itc-mughal-tajganj,['chicken']
indian-coffee-house-tonk-road,"['sandwich', 'paneer', 'coffeee']"
super-donuts-sector-35,"['cake', 'salad']"
starbucks-jubilee-hills,['coffeee']
cafe-sussegado-calangute,"['fish curry', 'fish', 'chicken']"
wok-on-fire-navrangpura,"['spinach rice', 'momos']"
kalsang-friends-corner-hathibarkala-salwala,"['lamb', 'gravy', 'mutton', 'momos', 'allo', 'coffeee', 'chicken', 'chutney']"
cafe-ra-bollywood-cafe-restaurant-chandpole,['cake']
tapri-central-c-scheme,"['tikka', 'sandwich', 'allo', 'pan cake', 'paneer', 'coffeee', 'the filling', 'cake', 'pasta', 'poha', 'pizzas']"
aman-chicken-shastri-nagar,"['chicken', 'paneer']"
kargo-koregaon-park,"['chicken', 'onion rings']"
dakshin-jagadamba-junction-vizag,"['fish', 'mutton', 'chicken']"
coffee-by-di-bella-versova,['coffeee']
bercos-pau,['chicken']
indian-coffee-house-maharana-pratap-nagar,['coffeee']
chopstix-1-kakkanad,"['lamb', 'chicken', 'chicken pie', 'gravy', 'pepper chicken']"
thee-heart-balliwala,"['chicken', 'ginger chicken', 'pepper chicken']"
tandoor-park-dhakuria,"['lamb', 'chicken', 'mayonnaise']"
golden-china-restaurant-tajganj,['paneer']
foodatu-chandigarh-industrial-area,"['chilli chicken', 'chicken']"
mango-bodakdev,"['tikka', 'gravy', 'kebab', 'fish', 'mughlai', 'paneer', 'coffeee', 'biryani', 'mexican rice', 'pasta', 'kebabs']"
the-french-loaf-elgin,"['tikka', 'sandwich', 'white sauce', 'coffeee', 'cake', 'pasta', 'chicken']"
minus-18-degrees-baner,"['cake', 'omelette', 'pasta', 'pepper mushroom']"
calcutta-rolls-dharampeth,"['chilli chicken', 'chicken', 'paneer', 'chicken roll']"
monarch-restaurant-holiday-inn-jaipur-city-centre-bais-godam,"['pasta', 'chicken', 'bati', 'masala dal', 'salad']"
panino-the-sandwich-world-dharampeth,"['pasta', 'sandwich', 'kebabs', 'coffeee', 'kebab']"
beer-garden-mandi-mohalla,['chicken']
savoury-sea-shell-anna-nagar-east,"['kadai paneer', 'fish', 'chicken', 'paneer']"
waylay-malviya-nagar,"['pasta', 'gravy', 'chilli paneer', 'paneer']"
double-roti-teynampet,"['chicken', 'sandwich']"
icing-on-the-cake-dharampeth,"['cake', 'pizzas']"
hot-stuff-civil-lines,"['chilli chicken', 'tikka', 'chilli paneer', 'kebab', 'chicken soup', 'paneer', 'chutney', 'chicken', 'chicken pizza']"
shreemaya-celebrity-vijay-nagar,['cake']
kitchen-at-95-hyatt-regency-rajguru-nagar,"['fish', 'salad']"
hotel-junior-kuppanna-gandhipuram,"['gravy', 'chicken', 'mutton', 'biryani', 'fish']"
surguru-spot-white-town,"['sambhar', 'sambar']"
manohar-dairy-and-restaurant-maharana-pratap-nagar,"['raj kachori', 'paneer']"
d-curry-house-nirala-bazar,"['fish', 'chicken', 'mutton', 'biryani', 'salad']"
seagull-restaurant-fort-kochi,"['fish curry', 'fish', 'chicken']"
thaaliwala-tajganj,"['paneer butter masala', 'dum aloo', 'paneer']"
knight-food-com-navrangpura,"['pasta', 'white sauce', 'onion rings', 'paneer', 'tikka']"
hotel-biryani-house-cidco,['biryani']
murugan-idli-shop-besant-nagar,"['chutney', 'sambar']"
venus-restaurant-bapuji-nagar-bhubaneshwar,"['paneer butter masala', 'paneer', 'sambar']"
hashtag-ranjit-avenue,['chicken']
pack-n-chew-gomti-nagar,"['gravy', 'paneer']"
the-table-maduravoyal,['cake']
hotel-narayana-bunder,['fish']
SmokeHouseDeli-KhanMarket,"['lamb', 'omelette', 'sandwich', 'salad', 'white sauce', 'fish', 'coffeee', 'eggs', 'pasta', 'cake', 'chicken', 'chicken pizza']"
pastry-coffee-n-conversation-siripuram-vizag,"['cake', 'coffeee']"
bapu-ki-kutia-tt-nagar,['paneer']
la-roma-pizzeria-ranjit-avenue,['pasta']
suravie-sarabha-nagar,"['stew', 'paneer']"
subway-tajganj,"['chicken', 'roasted chicken']"
momo-cafe-tajganj,"['lamb', 'tikka', 'roasted chicken', 'salad', 'momos', 'mughlai', 'paneer', 'pudding', 'cake', 'chicken']"
yes-m-hungry-piplod,"['pasta', 'sandwich', 'paneer', 'pizzas', 'coffeee']"
foody-buddy-prahlad-nagar,"['pasta', 'peanut', 'sandwich', 'biryani']"
the-punjabi-rasoi-indiranagar,"['gravy', 'tikka', 'chicken', 'paneer', 'curd']"
bukhaaraa-ranjit-avenue,['gravy']
the-white-room-coffee-kitchen-church-street,['cake']
seasons-restaurant-lalpur,"['chicken', 'chicken pie', 'chicken masala', 'kebab']"
dindigul-venu-biryani-gandhipuram,"['mutton', 'salad', 'allo', 'fish', 'pepper chicken', 'biryani', 'chicken']"
bun-intended-greater-kailash-gk-1-new-delhi,"['lamb', 'chicken']"
kareems-gomti-nagar,"['tikka', 'kebab', 'mughlai', 'biryani', 'chicken', 'kebabs']"
gateway-all-day-the-taj-gateway-hotel-akota,"['tikka', 'paneer', 'salad']"
dosa-point-chamrajpura,"['gravy', 'chutney', 'coffeee']"
mangosteen-cafe-new-palasia,"['chilli paneer', 'paneer']"
pakva-lounge-gokulam,"['manchow', 'pasta', 'pizzas', 'paneer']"
little-italy-alkapuri,"['pasta', 'pizzas']"
panna-vilas-restaurant-lounge-fateh-sagar,"['tikka', 'paneer', 'biryani']"
sri-basant-vihar-fraser-road-area,['sambar']
