hotel,fooditems
tangerinecbe,"['pasta', 'chicken', 'paneer']"
prems-koregaon-park,"['omelette', 'gravy', 'tikka', 'eggs', 'paneer', 'pasta', 'cake', 'chicken']"
cafe-coffee-day-kurji,['allo']
chilis-hitech-city,"['pasta', 'salad']"
indian-coffee-house-ludhiana-junction,['coffeee']
mums-kitchen-panaji,['prawn curry']
wangs-kitchen-mg-road,"['lamb', 'gravy', 'chicken', 'fish']"
rang-de-basanti-urban-dhaba-hauz-khas-village-new-delhi,"['lamb', 'tikka', 'mutton', 'kebab', 'allo', 'mughlai', 'makki ki roti', 'paneer', 'pasta', 'shahi paneer', 'sarson ka saag', 'chicken', 'pizzas', 'chutney']"
lucky-restaurant-hill-road-bandra-west,"['chicken', 'mutton', 'biryani', 'paneer']"
zaatar-arabic-restaurant-panampilly-nagar,"['mayonnaise', 'chicken', 'fish', 'salad', 'chutney']"
ziva-all-day-dining-holiday-inn-ranjit-avenue,"['pasta', 'sandwich']"
the-kitchen-knight-chandigarh-industrial-area,['chicken']
friends-dhaba-ludhiana-junction,"['dal fry', 'kheer', 'paneer', 'shahi paneer']"
paris-cafe-ballygunge,"['sandwich', 'salad', 'eggs', 'coffeee', 'cookie', 'cake', 'pan cake']"
no-mad-baker-the-pizzeria-vastrapur,"['chicken', 'pizzas', 'chicken pizza']"
priya-jayadev-vihar-bhubaneshwar,"['gravy', 'paneer', 'biryani']"
raj-darbar-golambar,"['chicken', 'biryani']"
7biryanis-waltair-uplands-vizag,['chicken']
mumbai-local-ballygunge,"['kebab', 'custard']"
farm-fresh-auroville,"['pasta', 'sandwich']"
north2south-restaurant-viman-nagar,"['puris', 'lemon rice']"
chai-koregaon-park,"['chicken', 'sandwich', 'chicken sandwich', 'coffeee']"
the-great-kabab-factory-radisson-hotel-nadesar,['kebab']
emprino-carter-road-bandra-west,"['fish', 'chicken wings', 'chicken']"
subway-hindpiri,"['tikka', 'chicken', 'paneer', 'salad']"
cocoa-bakery-new-alipore,"['sandwich', 'marble cake', 'fish', 'coffeee', 'pasta', 'cookie', 'cake', 'chicken', 'chicken sandwich']"
dee-mougliz-gurdev-nagar,"['cake', 'tikka', 'chicken', 'paneer']"
shreemaya-celebrity-press-complex,"['tikka', 'peanut', 'fish', 'paneer', 'pasta', 'chicken']"
QDsHudsonLane,"['chilli chicken', 'tikka', 'gravy', 'mutton', 'momos', 'peanut', 'paneer', 'chicken lollipop', 'pasta', 'chilli paneer', 'biryani', 'cake', 'chicken', 'chutney']"
auro-pizza-white-town,"['chicken', 'pizzas']"
biriyani-box-sahid-nagar-bhubaneshwar,"['chicken', 'mutton']"
the-woking-mama-christian-basti,"['fish', 'chicken']"
the-wonton-gachibowli,"['lamb', 'chicken', 'gravy']"
food-souk-nungambakkam,"['tikka', 'chicken', 'paneer', 'chicken roll']"
sonus-kitchen-brs-nagar,"['gravy', 'chicken', 'paneer', 'pepper chicken']"
kebab-gali-malviya-nagar-new-delhi,"['tikka', 'mughlai', 'kebabs', 'biryani', 'kebab']"
gabbars-bar-kitchen-camac-street-area,"['chilli chicken', 'tikka', 'mutton', 'kebab', 'fish', 'paneer', 'cake', 'chicken', 'kebabs', 'chutney']"
chill-ummm-patia-bhubaneshwar,['pizzas']
sasumaa-gujarati-thali-alkapuri,['chapati']
the-yellow-chilli-vadiwadi,"['gravy', 'paneer']"
caf�-bae-bais-godam,"['cake', 'pasta', 'salad']"
bombay-brasserie-adyar,"['tikka', 'fish', 'mutton', 'chicken']"
the-nest-old-palasia,['coffeee']
prankster-sector-29-gurgaon,"['tikka', 'chicken', 'mutton', 'kebab', 'momos']"
zaffran-connaught-place-new-delhi,"['mutton', 'mughlai', 'paneer', 'chutney', 'biryani']"
aunty-maria-fidalgo-panaji,"['sandwich', 'coffeee', 'pasta', 'biryani', 'cake', 'custard']"
kobe-sizzlers-ranjit-avenue,"['chicken', 'fish', 'paneer']"
jaffa-college-road,"['tikka', 'chicken']"
world-in-a-box-dlf-phase-4-gurgaon,"['omelette', 'sandwich', 'salad', 'chicken curry', 'chicken soup', 'the filling', 'cake', 'chicken', 'chicken sandwich']"
indiana-red-velvet-gadia-vihar,"['jeera rice', 'paneer']"
leon-grill-jeevan-bhima-nagar,"['tikka', 'chicken', 'chicken wings', 'salad']"
terminal-11-sector-1-salt-lake,"['sandwich', 'chicken pizza', 'white sauce', 'allo', 'eggs', 'coffeee', 'pepper chicken', 'pasta', 'fish', 'cookie', 'cake', 'chicken', 'chicken sandwich', 'lemon pie']"
asian-haus-1-east-of-kailash-new-delhi,"['chicken', 'chicken teriyaki', 'salad', 'momos']"
mughal-darbar-cidco,"['chicken', 'mughlai']"
cake-square-sarabha-nagar,['cake']
murli-bellandur,['sambhar']
beera-chicken-corner-white-avenue,"['tikka', 'roasted chicken', 'mutton', 'allo', 'fish', 'chicken roast', 'chicken']"
meghana-foods-koramangala-5th-block,"['chicken', 'chicken biryani', 'biryani', 'paneer']"
candies-pali-hill-bandra-west,"['roasted chicken', 'sandwich', 'salad', 'mutton', 'chicken roll', 'pasta', 'chicken']"
